sector,index,name,netIncome,totalRevenue,marketCap_netIncome,growth_revenue,currentPrice,growth_income,sharesOutstanding,marketCap,ticker,netIncome_sharesOutstanding,marketCap_totalRevenue
Financial Services,6322,Sprott Physical Silver Trust ETV,-36073257.0,-29371580.0,-21.741785604776414,-0.4209018071697648,5.21,-0.4523335824139619,150536856,784297019.76,PSLV,-0.23963073202485377,-26.70258187540473
Financial Services,6267,Prudential Financial Inc. 5.625% Junior Subordinated Notes due 2058,-33765000.0,-33625000.0,-15.608267766622243,-1.1212778082349886,24.19,-1.1305502714239317,21786406,527013161.14000005,PRS,-1.5498196444149623,-15.67325386289963
Financial Services,1292,Sprott Physical Gold and Silver Trust Units,-89349493.0,-173104798.0,-29.047892250714845,-1.1943737086054051,11.58,-1.2412419594635005,224129054,2595414445.32,CEF,-0.3986519882424525,-14.993313156576978
Utilities,4524,Kenon Holdings Ltd.,801590000.0,-70296000.0,1.107974598610262,-0.8048456659348682,16.5,1.5743353959464677,53826749,888141358.5,KEN,14.892038157459593,-12.634308616421986
Financial Services,3345,China Commercial Credit Inc.,4432582.0,-2712526.0,3.384781899127867,-2.4930303469414823,0.61,-4.403537938808244,24595612,15003323.32,GLG,0.18021840643770115,-5.531126086902025
Financial Services,4945,Medley Capital Corporation,-99541302.0,-65526212.0,-2.150701718066738,0.6260740367682516,3.93,0.46081824728020104,54474211,214083649.23000002,MCC,-1.8273105782110364,-3.2671452033577038
Industrials,562,Attis Industries Inc.,-18814821.0,-23151947.0,-0.4712446894923953,-0.9719406462617035,0.41,-1.2160335846036954,21625328,8866384.479999999,ATIS,-0.8700363296223761,-0.38296496100306376
Consumer Defensive,6968,Origin Agritech Limited,-6339257.479,-13287670.522,-0.2080504151107695,0,5.65,-0.15039484574828907,233431,1318885.1500000001,SEED,-27.156879244830378,-0.09925631041320307
,3,Perth Mint Physical Gold,0,0,0,0,11.895,0,100000,1189500.0,AAAU,0,0
,6,AdvisorShares Dorsey Wright ADR,0,0,0,0,50.24,0,3625000,182120000.0,AADR,0,0
Basic Materials,16,Almaden Minerals Ltd.,-3908215.846175,0,-16.270833777575497,0,0.5696,-0.38993152642658996,111639625,63589930.4,AAU,-0.03500742542063358,0
,18,iShares MSCI All Country Asia ex Japan Index Fund,0,0,0,0,65.74,0,56400000,3707735999.9999995,AAXJ,0,0
Financial Services,20,AllianceBernstein Holding L.P. Units,238388000.0,0,12.385497269157844,0,30.15,-0.042311137377300474,97928820,2952553923.0,AB,2.4342987079799387,0
,29,,0,0,0,0,6.213,0,0,0.0,ABEOW,0,0
Healthcare,33,ARCA biopharma Inc.,-13481000.0,0,-0.6390231086343743,0,0.6187,-0.12442228168328874,13923825,8614670.5275,ABIO,-0.9681965982766948,0
Real Estate,39,Arbor Realty Trust Cumulative Redeemable Preferred Series C,89201028.0,277100933.0,0.0,0.5914542370819257,26.061,0.45758124572044423,0,0.0,ABR-C,0,0.0
Healthcare,49,Acer Therapeutics Inc.,-16511180.0,0,-17.13939356242255,0,28.15,-0.7787253415176776,10052988,282991612.2,ACER,-1.6424151704945833,0
,50,ALPS Clean Energy,0,0,0,0,24.63,0,0,0.0,ACES,0,0
Financial Services,53,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of5.45% Non-Cumulative Preferred Shares Series F,575053000.0,5474543000.0,0.0,0.2061164059291979,22.44,-0.10604297728722836,0,0.0,ACGLO,0,0.0
Financial Services,54,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,575053000.0,5474543000.0,0.0,0.2061164059291979,22.22,-0.10604297728722836,0,0.0,ACGLP,0,0.0
Healthcare,57,Achillion Pharmaceuticals Inc.,-80328000.0,0,-5.641575153122199,0,3.27,-0.3813243444721745,138586070,453176448.9,ACHN,-0.5796253548426621,0
Healthcare,58,Achieve Life Sciences Inc.,-16022000.0,0,-0.6959157564598677,0,2.45,0.47424114461721895,4551005,11149962.25,ACHV,-3.5205410673027164,0
,60,SPDR MSCI ACWI IMI,0,0,0,0,79.563,0,1300000,103431900.0,ACIM,0,0
Financial Services,69,Aberdeen Income Credit Strategies Fund,0,0,0,0,14.05,0,13074072,183690711.60000002,ACP,0,0
,73,American Customer Satisfaction,0,0,0,0,33.605,0,1700000,57128499.99999999,ACSI,0,0
Healthcare,74,Acasti Pharma Inc.,-20420473.399,0,-2.227325386209084,0,1.24,-0.9725329052376508,36679870,45483038.8,ACST,-0.5567215314285465,0
,75,AdvisorShares Vice ETF,0,0,0,0,27.21,0,550000,14965500.0,ACT,0,0
Financial Services,78,AllianzGI Diversified Income & Convertible Fund of Beneficial Interest,0,0,0,0,23.43,0,10293758,241182749.94,ACV,0,0
,79,iShares Edge MSCI Multifactor Global,0,0,0,0,29.817,0,2300000,68579100.0,ACWF,0,0
,80,iShares MSCI ACWI Index Fund,0,0,0,0,72.69,0,120400000,8751876000.0,ACWI,0,0
,81,iShares Edge MSCI Min Vol Global,0,0,0,0,86.56,0,38200000,3306592000.0,ACWV,0,0
,82,iShares MSCI ACWI Ex US Index Fund,0,0,0,0,46.1,0,63400000,2922740000.0,ACWX,0,0
Healthcare,89,Adial Pharmaceuticals Inc,-2444756.0,0,-7.0068942994720125,0,2.62,0.48630367252531503,6538224,17130146.88,ADIL,-0.37391744302428304,0
,90,Adial Pharmaceuticals Inc Warrant,0,0,0,0,0.28,0,0,0.0,ADILW,0,0
,98,Invesco BLDRS Asia 50 ADR Index Fund,0,0,0,0,31,0,600000,18600000.0,ADRA,0,0
,99,Invesco BLDRS Developed Markets 100 ADR Index Fund,0,0,0,0,21.91,0,2550000,55870500.0,ADRD,0,0
,100,Invesco BLDRS Emerging Markets 50 ADR Index Fund,0,0,0,0,39.2,0,3550000,139160000.0,ADRE,0,0
,102,Invesco BLDRS Europe Select ADR Index Fund,0,0,0,0,21.09,0,650000,13708500.0,ADRU,0,0
Financial Services,110,Adams Diversified Equity Fund Inc.,0,0,0,0,16.22,0,101105230,1639926830.6,ADX,0,0
Healthcare,112,Advaxis Inc. Warrants,0,0,0,0,0.03,0,0,0.0,ADXSW,0,0
Financial Services,114,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),2467147028.0,49778117308.0,0.0,0.24564025672501133,23.14,5.445125454970333,0,0.0,AEB,0,0.0
Financial Services,115,AEGON N.V. Perp. Cap. Securities (Netherlands),2467147028.0,49778117308.0,0.0,0.24564025672501133,25.3,5.445125454970333,0,0.0,AED,0,0.0
Financial Services,117,Aberdeen Emerging Markets Equity Income Fund Inc.,0,0,0,1.2697388778692542,6.55,1.438260631564417,60499028,396268633.4,AEF,0,0
Financial Services,120,AEGON N.V. Perp. Cap Secs.,2467147028.0,49778117308.0,0.0,0.24564025672501133,25.12,5.445125454970333,0,0.0,AEH,0,0.0
Financial Services,136,AllianceBernstein National Municipal Income Fund Inc,0,0,0,0,11.92,0,28744936,342639637.12,AFB,0,0
,139,,0,0,0,0,25.26,0,0,0.0,AFGE,0,0
,140,,0,0,0,0,25.03,0,0,0.0,AFGH,0,0
,142,Atlas Financial Holdings Inc. 6.625% Senior Unsecured Notes Due 2022,0,0,0,0,25.85,0,0,0.0,AFHBL,0,0
,144,Anfield Universal Fixed Income,0,0,0,0,10.033,0,0,0.0,AFIF,0,0
,146,VanEck Vectors-Africa Index,0,0,0,0,20.75,0,2900000,60175000.0,AFK,0,0
Financial Services,150,AmTrust Financial Services Inc. Preferred Series A,168208000.0,6527250000.0,0.0,0.06388383765776028,15.5,-1.8489072620478557,0,0.0,AFSI-A,0,0.0
