sector,index,name,netIncome,totalRevenue,marketCap_netIncome,growth_revenue,currentPrice,growth_income,sharesOutstanding,marketCap,ticker,netIncome_sharesOutstanding,marketCap_totalRevenue
Financial Services,6298,Sprott Physical Silver Trust ETV,-36073257.0,-29371580.0,-21.40793860892572,-0.4209018071697648,5.13,-0.4523335824139619,150536856,772254071.28,PSLV,-0.23963073202485377,-26.29256142434285
Financial Services,6243,Prudential Financial Inc. 5.625% Junior Subordinated Notes due 2058,-33765000.0,-33625000.0,-15.950243042203462,-1.1212778082349886,24.72,-1.1305502714239317,21786406,538559956.3199999,PRS,-1.5498196444149623,-16.01665297605948
Financial Services,1282,Sprott Physical Gold and Silver Trust Units,-89349493.0,-173104798.0,-29.94419579303041,-1.1943737086054051,11.63,-1.2412419594635005,230051480,2675498712.4,CEF,-0.3883891249036955,-15.455947745596283
Utilities,4503,Kenon Holdings Ltd.,801590000.0,-70296000.0,1.1496075835277386,-0.8048456659348682,17.12,-1.5743353959464677,53826749,921513942.88,KEN,14.892038157459593,-13.109052334129965
Financial Services,3328,China Commercial Credit Inc.,4432582.0,-2712526.0,3.795394785251576,-2.4930303469414823,0.684,4.403537938808244,24595612,16823398.608000003,GLG,0.18021840643770115,-6.202115153181943
Financial Services,4925,Medley Capital Corporation,-99541302.0,-65526212.0,-2.1561742415223786,0.6260740367682516,3.94,-0.46081824728020104,54474211,214628391.34,MCC,-1.8273105782110364,-3.275458549931133
Consumer Defensive,6937,Origin Agritech Limited,-9080040.784,-856556.1270000003,-0.13830981708947354,0,5.38,0.15039484574828907,233431,1255858.78,SEED,-38.89817883657269,-1.4661721986608351
Industrials,560,Attis Industries Inc.,-18814821.0,-23151947.0,-0.2988380957756654,-0.9719406462617035,0.26,1.2160335846036954,21625328,5622585.28,ATIS,-0.8700363296223761,-0.24285582892877217
,3,Perth Mint Physical Gold,0,0,0,0,11.98,0,100000,1198000.0,AAAU,0,0
,6,AdvisorShares Dorsey Wright ADR,0,0,0,0,50.92,0,3700000,188404000.0,AADR,0,0
Basic Materials,16,Almaden Minerals Ltd.,-3908215.846175,0,-18.470367135850275,0,0.6466,0.38993152642658996,111639625,72186181.52499999,AAU,-0.03500742542063358,0
,19,iShares MSCI All Country Asia ex Japan Index Fund,0,0,0,0,69.34,0,59400000,4118796000.0,AAXJ,0,0
Financial Services,21,AllianceBernstein Holding L.P. Units,238388000.0,0,12.364957472691579,0,30.1,-0.042311137377300474,97928820,2947657482.0,AB,2.4342987079799387,0
,30,,0,0,0,0,8.6,0,0,0.0,ABEOW,0,0
Healthcare,34,ARCA biopharma Inc.,-13481000.0,0,-0.5370810028929605,0,0.52,0.12442228168328874,13923825,7240389.0,ABIO,-0.9681965982766948,0
Real Estate,40,Arbor Realty Trust Cumulative Redeemable Preferred Series C,89201028.0,277100933.0,0.0,0.5914542370819257,25.7799,0.45758124572044423,0,0.0,ABR-C,0,0.0
Healthcare,50,Acer Therapeutics Inc.,-16511180.0,0,-18.65849789415414,0,30.645,0.7787253415176776,10052988,308073817.26,ACER,-1.6424151704945833,0
,51,ALPS Clean Energy,0,0,0,0,26.095,0,0,0.0,ACES,0,0
Financial Services,54,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of5.45% Non-Cumulative Preferred Shares Series F,575053000.0,5474543000.0,0.0,0.2061164059291979,23.86,-0.10604297728722836,0,0.0,ACGLO,0,0.0
Financial Services,55,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,575053000.0,5474543000.0,0.0,0.2061164059291979,23.33,-0.10604297728722836,0,0.0,ACGLP,0,0.0
Healthcare,58,Achillion Pharmaceuticals Inc.,-80328000.0,0,-5.5380600126979385,0,3.21,0.3813243444721745,138586070,444861284.7,ACHN,-0.5796253548426621,0
Healthcare,59,Achieve Life Sciences Inc.,-16022000.0,0,-0.7356823711147172,0,2.59,-0.47424114461721895,4551005,11787102.95,ACHV,-3.5205410673027164,0
,61,SPDR MSCI ACWI IMI,0,0,0,0,80.5508,0,1300000,104716040.0,ACIM,0,0
Financial Services,70,Aberdeen Income Credit Strategies Fund,0,0,0,0,14.34,0,13074072,187482192.48,ACP,0,0
,74,American Customer Satisfaction,0,0,0,0,34.1696,0,1700000,58088320.00000001,ACSI,0,0
Healthcare,75,Acasti Pharma Inc.,-20420473.399,0,-0.9708623961661369,0,0.5405,0.9725329052376508,36679870,19825469.735,ACST,-0.5567215314285465,0
,76,AdvisorShares Vice ETF,0,0,0,0,26.5801,0,500000,13290050.0,ACT,0,0
Financial Services,79,AllianzGI Diversified Income & Convertible Fund of Beneficial Interest,0,0,0,0,24.37,0,10293758,250858882.46,ACV,0,0
,80,iShares Edge MSCI Multifactor Global,0,0,0,0,30.719,0,2300000,70653700.0,ACWF,0,0
,81,iShares MSCI ACWI Index Fund,0,0,0,0,73.76,0,120400000,8880704000.0,ACWI,0,0
,82,iShares Edge MSCI Min Vol Global,0,0,0,0,87.89,0,38400000,3374976000.0,ACWV,0,0
,83,iShares MSCI ACWI Ex US Index Fund,0,0,0,0,47.24,0,63400000,2995016000.0,ACWX,0,0
Healthcare,91,Adial Pharmaceuticals Inc,-2444756.0,0,-8.558038839049788,0,3.2,-0.48630367252531503,6538224,20922316.8,ADIL,-0.37391744302428304,0
,92,Adial Pharmaceuticals Inc Warrant,0,0,0,0,0.5,0,0,0.0,ADILW,0,0
,100,Invesco BLDRS Asia 50 ADR Index Fund,0,0,0,0,32.091,0,600000,19254600.0,ADRA,0,0
,101,Invesco BLDRS Developed Markets 100 ADR Index Fund,0,0,0,0,22.31,0,2650000,59121500.0,ADRD,0,0
,102,Invesco BLDRS Emerging Markets 50 ADR Index Fund,0,0,0,0,39.75,0,3550000,141112500.0,ADRE,0,0
,104,Invesco BLDRS Europe Select ADR Index Fund,0,0,0,0,21.46,0,750000,16095000.0,ADRU,0,0
Financial Services,112,Adams Diversified Equity Fund Inc.,0,0,0,0,16.54,0,101105230,1672280504.1999998,ADX,0,0
