sector,index,name,netIncome,totalRevenue,marketCap_netIncome,currentPrice,sharesOutstanding,marketCap,ticker,netIncome_sharesOutstanding,marketCap_totalRevenue
Financial Services,6297,Sprott Physical Silver Trust ETV,-36073257.0,-29371580.0,-21.449669483407053,5.14,150536856,773759439.8399999,PSLV,-0.23963073202485377,-26.34381398072558
Financial Services,6242,Prudential Financial Inc. 5.625% Junior Subordinated Notes due 2058,-33765000.0,-33625000.0,-15.981859624285502,24.769,21786406,539627490.214,PRS,-1.5498196444149623,-16.04840119595539
Financial Services,1281,Sprott Physical Gold and Silver Trust Units,-89349493.0,-173104798.0,-30.137301096940753,11.705,230051480,2692752573.4,CEF,-0.3883891249036955,-15.55562066742945
Utilities,4503,Kenon Holdings Ltd.,801590000.0,-70296000.0,1.1606201795381679,17.284,53826749,930341529.716,KEN,14.892038157459593,-13.234629704620462
Financial Services,3328,China Commercial Credit Inc.,4432582.0,-2712526.0,3.6899671523279207,0.665,24595612,16356081.98,GLG,0.18021840643770115,-6.029834176704666
Financial Services,4925,Medley Capital Corporation,-99541302.0,-65526212.0,-2.1589105032501985,3.945,54474211,214900762.39499998,MCC,-1.8273105782110364,-3.279615223217847
Consumer Defensive,6938,Origin Agritech Limited,-9080040.784,-856556.1270000003,-0.14807891197683415,5.76,233431,1344562.56,SEED,-38.89817883657269,-1.569730829793013
Industrials,559,Attis Industries Inc.,-18814821.0,-23151947.0,-0.29987253533796576,0.2609,21625328,5642048.075200001,ATIS,-0.8700363296223761,-0.24369648372121794
,3,Perth Mint Physical Gold,0,0,0,12.04,100000,1204000.0,AAAU,0,0
,6,AdvisorShares Dorsey Wright ADR,0,0,0,51.209,3700000,189473300.0,AADR,0,0
Basic Materials,16,Almaden Minerals Ltd.,-3908215.846175,0,-18.336109904890648,0.6419,111639625,71661475.28750001,AAU,-0.03500742542063358,0
,19,iShares MSCI All Country Asia ex Japan Index Fund,0,0,0,68.99,59400000,4098005999.9999995,AAXJ,0,0
Financial Services,21,AllianceBernstein Holding L.P. Units,238388000.0,0,12.631974826753025,30.75,97928820,3011311215.0,AB,2.4342987079799387,0
,30,,0,0,0,9.5,0,0.0,ABEOW,0,0
Healthcare,34,ARCA biopharma Inc.,-13481000.0,0,-0.5577379645426898,0.54,13923825,7518865.500000001,ABIO,-0.9681965982766948,0
Real Estate,40,Arbor Realty Trust Cumulative Redeemable Preferred Series C,89201028.0,277100933.0,0.0,25.7064,0,0.0,ABR-C,0,0.0
